"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"167",166,99.117,21727.83,-8,"Federal","5yrave","omni-directional_wave_power_166",38607.32663,c(37.9151, -123.25)
"168",167,135.5533,34955.445,-8,"Federal","5yrave","omni-directional_wave_power_167",38540.31736,c(37.9215, -123.411)
"169",168,2100.9578,50182.02,-8,"Federal","5yrave","omni-directional_wave_power_168",41294.25343,c(37.906, -123.584)
"170",169,3189.6082,63920.92,-8,"Federal","5yrave","omni-directional_wave_power_169",42561.39303,c(37.9125, -123.744)
"171",170,11.1,6674.2183,-8,"Federal","5yrave","omni-directional_wave_power_170",22995.55095,c(37.7487, -122.586)
"172",171,41.9513,16378.712,-8,"Federal","5yrave","omni-directional_wave_power_171",26662.44311,c(37.7514, -122.752)
"173",172,56.8164,8962.998,-8,"Federal","5yrave","omni-directional_wave_power_172",33190.55391,c(37.75, -122.919)
"174",173,68.2213,8496.069,-8,"California","5yrave","omni-directional_wave_power_173",34465.1294,c(37.7517, -123.085)
"175",174,688.4016,21807.21,-8,"Federal","5yrave","omni-directional_wave_power_174",37572.93052,c(37.7506, -123.253)
"176",175,1753.5151,36347.73,-8,"Federal","5yrave","omni-directional_wave_power_175",40452.40568,c(37.7525, -123.421)
"177",176,2790.9094,50743.613,-8,"Federal","5yrave","omni-directional_wave_power_176",41730.30779,c(37.7581, -123.585)
"178",177,3339.7644,66176.72,-8,"Federal","5yrave","omni-directional_wave_power_177",42921.83926,c(37.7507, -123.762)
"179",178,33.7661,5916.4766,-8,"California","5yrave","omni-directional_wave_power_178",22634.22573,c(37.5847, -122.587)
"180",179,59.7184,20528.688,-8,"Federal","5yrave","omni-directional_wave_power_179",27189.83758,c(37.5832, -122.753)
"181",180,95.2778,14254.947,-8,"Federal","5yrave","omni-directional_wave_power_180",29408.13478,c(37.5851, -122.917)
"182",181,977.6127,13945.755,-8,"Federal","5yrave","omni-directional_wave_power_181",36941.35896,c(37.585, -123.085)
"183",182,1536.3289,24477.914,-8,"Federal","5yrave","omni-directional_wave_power_182",39347.56288,c(37.5854, -123.252)
"184",183,2256.5066,37365.84,-8,"Federal","5yrave","omni-directional_wave_power_183",40800.09056,c(37.5937, -123.416)
"185",184,3321.7073,51555.08,-8,"Federal","5yrave","omni-directional_wave_power_184",42004.60755,c(37.5814, -123.579)
"186",185,3448.4187,65972.24,-8,"Federal","5yrave","omni-directional_wave_power_185",42921.94767,c(37.5908, -123.749)
"187",186,28.2511,2923.419,-8,"California","5yrave","omni-directional_wave_power_186",20886.21138,c(37.4026, -122.463)
"188",187,62.3993,11442.2705,-8,"Federal","5yrave","omni-directional_wave_power_187",27721.04246,c(37.4171, -122.584)
"189",188,86.4592,23417.979,-8,"Federal","5yrave","omni-directional_wave_power_188",30130.50859,c(37.4188, -122.749)
"190",189,248.8403,31585.688,-8,"Federal","5yrave","omni-directional_wave_power_189",35493.72167,c(37.4184, -122.917)
"191",190,712.3089,31933.725,-8,"Federal","5yrave","omni-directional_wave_power_190",38242.55956,c(37.4136, -123.079)
"192",191,1180.2351,37078.043,-8,"Federal","5yrave","omni-directional_wave_power_191",39735.84794,c(37.4181, -123.244)
"193",192,35.2149,3002.3057,-8,"California","5yrave","omni-directional_wave_power_192",25288.909,c(37.2467, -122.453)
"194",193,91.2781,14629.974,-8,"Federal","5yrave","omni-directional_wave_power_193",30462.02,c(37.2528, -122.584)
"195",194,124.9635,29234.908,-8,"Federal","5yrave","omni-directional_wave_power_194",33341.06777,c(37.2512, -122.749)
"196",195,375.1425,43966.887,-8,"Federal","5yrave","omni-directional_wave_power_195",37209.74416,c(37.2548, -122.915)
"197",196,750.4271,50887.703,-8,"Federal","5yrave","omni-directional_wave_power_196",38737.08605,c(37.2413, -123.085)
"198",197,1725.9927,53250.996,-8,"Federal","5yrave","omni-directional_wave_power_197",40025.84999,c(37.2557, -123.25)
"199",198,3654.7224,89896.625,-8,"Federal","5yrave","omni-directional_wave_power_198",46143.29998,c(38.745, -124.744)
"200",199,3776.4053,94200.51,-8,"Federal","5yrave","omni-directional_wave_power_199",45435.2651,c(38.2503, -124.419)
"201",200,3620.251,94071.33,-8,"Federal","5yrave","omni-directional_wave_power_200",44177.97024,c(37.754, -124.079)
"202",201,3249.8704,65167.184,-8,"Federal","5yrave","omni-directional_wave_power_201",42225.68192,c(37.3348, -123.593)
"203",202,0.8396,219.40894,-8,"California","5yrave","omni-directional_wave_power_202",0.322142844,c(37.8152, -122.362)
"204",203,2,3722.9182,-8,"California","5yrave","omni-directional_wave_power_203",2.661479932,c(37.5854, -122.216)
